geno	condition	lab	petiole_length
col0	LPM	col0_LPM	0.431 
col0	LPM	col0_LPM	0.479 
col0	LPM	col0_LPM	0.394 
col0	LPM	col0_LPM	0.430 
col0	LPM	col0_LPM	0.502 
col0	LPM	col0_LPM	0.418 
col0	LPM	col0_LPM	0.496 
col0	LPM	col0_LPM	0.681 
col0	LPM	col0_LPM	0.663 
col0	LPM	col0_LPM	0.626 
col0	LPM	col0_LPM	0.667 
col0	LPM	col0_LPM	0.589 
col0	LPM	col0_LPM	0.573 
col0	LPM	col0_LPM	0.722 
col0	LPM	col0_LPM	0.476 
col0	LPM	col0_LPM	0.419 
col0	LPM	col0_LPM	0.681 
col0	LPM	col0_LPM	0.663 
col0	LPM	col0_LPM	0.626 
jazq	NCM	jazq_NCM	0.303 
jazq	NCM	jazq_NCM	0.304 
jazq	NCM	jazq_NCM	0.305 
jazq	LP	jazq_LP	0.309 
jazq	NC	jazq_NC	0.312 
jazq	NCM	jazq_NCM	0.312 
jazq	LPM	jazq_LPM	0.318 
jazq	LP	jazq_LP	0.324 
jazq	NC	jazq_NC	0.328 
jazq	LPM	jazq_LPM	0.337 
jazq	NC	jazq_NC	0.338 
jazq	LPM	jazq_LPM	0.340 
jazq	NC	jazq_NC	0.341 
jazq	NC	jazq_NC	0.349 
jazq	NCM	jazq_NCM	0.350 
jazq	LP	jazq_LP	0.352 
jazq	NCM	jazq_NCM	0.353 
jazq	LPM	jazq_LPM	0.359 
jazq	NCM	jazq_NCM	0.365 
jazq	NC	jazq_NC	0.365 
jazq	LPM	jazq_LPM	0.368 
jazq	NCM	jazq_NCM	0.369 
jazq	NC	jazq_NC	0.372 
jazq	NCM	jazq_NCM	0.374 
jazq	NC	jazq_NC	0.378 
jazq	NC	jazq_NC	0.378 
jazq	NCM	jazq_NCM	0.379 
jazq	NCM	jazq_NCM	0.383 
jazq	LP	jazq_LP	0.388 
jazq	NC	jazq_NC	0.390 
jazq	LP	jazq_LP	0.390 
jazq	NC	jazq_NC	0.392 
jazq	NC	jazq_NC	0.401 
jazq	NCM	jazq_NCM	0.407 
jazq	NCM	jazq_NCM	0.412 
jazq	LPM	jazq_LPM	0.412 
sav	NC	sav_NC	0.311 
sav	NC	sav_NC	0.330 
sav	NC	sav_NC	0.304 
sav	NC	sav_NC	0.277 
sav	NC	sav_NC	0.305 
sav	NC	sav_NC	0.272 
sav	NC	sav_NC	0.250 
sav	NC	sav_NC	0.255 
sav	NC	sav_NC	0.275 
sav	LP	sav_LP	0.208 
sav	LP	sav_LP	0.190 
sav	LP	sav_LP	0.221 
sav	LP	sav_LP	0.233 
sav	LP	sav_LP	0.248 
sav	LP	sav_LP	0.228 
sav	LP	sav_LP	0.187 
sav	LP	sav_LP	0.200 
sav	LP	sav_LP	0.220 
sav	NCM	sav_NCM	0.338 
sav	NCM	sav_NCM	0.346 
sav	NCM	sav_NCM	0.286 
sav	NCM	sav_NCM	0.395 
sav	NCM	sav_NCM	0.395 
sav	NCM	sav_NCM	0.161 
sav	NCM	sav_NCM	0.333 
sav	NCM	sav_NCM	0.335 
sav	NCM	sav_NCM	0.280 
sav	LPM	sav_LPM	0.384 
sav	LPM	sav_LPM	0.506 
sav	LPM	sav_LPM	0.326 
sav	LPM	sav_LPM	0.460 
sav	LPM	sav_LPM	0.465 
sav	LPM	sav_LPM	0.260 
sav	LPM	sav_LPM	0.425 
sav	LPM	sav_LPM	0.450 
sav	LPM	sav_LPM	0.402 
myc2	LP	myc2_LP	0.621 
myc2	LP	myc2_LP	0.630 
myc2	LP	myc2_LP	0.547 
myc2	LP	myc2_LP	0.673 
myc2	LP	myc2_LP	0.492 
myc2	LP	myc2_LP	0.747 
myc2	LPM	myc2_LPM	0.768 
myc2	LPM	myc2_LPM	0.776 
myc2	LPM	myc2_LPM	0.480 
myc2	LPM	myc2_LPM	0.469 
myc2	LPM	myc2_LPM	0.512 
myc2	LPM	myc2_LPM	0.531 
myc2	LPM	myc2_LPM	0.547 
myc2	LPM	myc2_LPM	0.571 
myc2	LPM	myc2_LPM	0.579 
myc2	LPM	myc2_LPM	0.583 
myc2	LPM	myc2_LPM	0.604 
myc2	LPM	myc2_LPM	0.406 
myc2	LPM	myc2_LPM	0.613 
myc2	LPM	myc2_LPM	0.414 
myc2	LPM	myc2_LPM	0.624 
myc2	LPM	myc2_LPM	0.431 
myc2	LPM	myc2_LPM	0.649 
myc2	LPM	myc2_LPM	0.684 
myc2	LPM	myc2_LPM	0.686 
myc2	LPM	myc2_LPM	0.526 
myc2	LPM	myc2_LPM	0.339 
myc2	LPM	myc2_LPM	0.416 
myc2	LPM	myc2_LPM	0.559 
myc2	LPM	myc2_LPM	0.513 
myc2	NC	myc2_NC	0.424 
myc2	NC	myc2_NC	0.466 
myc2	NC	myc2_NC	0.407 
myc2	NC	myc2_NC	0.408 
myc2	NC	myc2_NC	0.516 
myc2	NC	myc2_NC	0.517 
myc2	NC	myc2_NC	0.527 
myc2	NC	myc2_NC	0.531 
myc2	NC	myc2_NC	0.533 
sav	NC	sav_NC	0.512 
sav	NC	sav_NC	0.548 
sav	NC	sav_NC	0.585 
sav	NC	sav_NC	0.567 
sav	NC	sav_NC	0.566 
sav	NC	sav_NC	0.548 
sav	NC	sav_NC	0.685 
sav	NC	sav_NC	0.641 
sav	NC	sav_NC	0.609 
sav	LP	sav_LP	0.614 
sav	LP	sav_LP	0.620 
sav	LP	sav_LP	0.565 
sav	LP	sav_LP	0.636 
sav	LP	sav_LP	0.636 
sav	LP	sav_LP	0.626 
sav	LP	sav_LP	0.464 
sav	LP	sav_LP	0.545 
sav	LP	sav_LP	0.589 
cry1cry2	LP	cry1cry2_LP	0.716 
cry1cry2	LP	cry1cry2_LP	0.658 
cry1cry2	LP	cry1cry2_LP	0.651 
cry1cry2	LP	cry1cry2_LP	0.504 
cry1cry2	LP	cry1cry2_LP	0.548 
cry1cry2	LP	cry1cry2_LP	0.653 
cry1cry2	LP	cry1cry2_LP	0.442 
cry1cry2	LP	cry1cry2_LP	0.618 
cry1cry2	LP	cry1cry2_LP	0.721 
cry1cry2	LP	cry1cry2_LP	0.911 
cry1cry2	LP	cry1cry2_LP	0.629 
cry1cry2	LP	cry1cry2_LP	0.726 
cry1cry2	LP	cry1cry2_LP	0.639 
cry1cry2	LP	cry1cry2_LP	0.544 
cry1cry2	LP	cry1cry2_LP	0.580 
cry1cry2	LP	cry1cry2_LP	0.484 
cry1cry2	LP	cry1cry2_LP	0.830 
cry1cry2	LP	cry1cry2_LP	0.765 
dellap	LPM	dellap_LPM	1.077 
dellap	LPM	dellap_LPM	0.789 
dellap	LPM	dellap_LPM	0.792 
dellap	LPM	dellap_LPM	0.865 
dellap	LPM	dellap_LPM	0.864 
dellap	LPM	dellap_LPM	0.874 
dellap	LPM	dellap_LPM	0.881 
dellap	LPM	dellap_LPM	0.800 
dellap	LPM	dellap_LPM	0.772 
dellap	LPM	dellap_LPM	0.558 
dellap	LPM	dellap_LPM	0.553 
dellap	LPM	dellap_LPM	0.698 
dellap	LPM	dellap_LPM	0.478 
dellap	LPM	dellap_LPM	0.729 
dellap	LPM	dellap_LPM	0.671 
dellap	LPM	dellap_LPM	0.560 
dellap	LPM	dellap_LPM	0.676 
dellap	LPM	dellap_LPM	0.528 
dellap	NC	dellap_NC	0.399 
dellap	NC	dellap_NC	0.466 
dellap	NC	dellap_NC	0.475 
dellap	NC	dellap_NC	0.363 
dellap	NC	dellap_NC	0.476 
dellap	NC	dellap_NC	0.496 
dellap	NC	dellap_NC	0.447 
dellap	NC	dellap_NC	0.487 
dellap	NC	dellap_NC	0.453 
dellap	NC	dellap_NC	0.590 
dellap	NC	dellap_NC	0.599 
dellap	NC	dellap_NC	0.666 
dellap	NC	dellap_NC	0.495 
dellap	NC	dellap_NC	0.663 
dellap	NC	dellap_NC	0.677 
dellap	NC	dellap_NC	0.736 
dellap	NC	dellap_NC	0.627 
dellap	NC	dellap_NC	0.782 
jazq	NCM	jazq_NCM	0.413 
jazq	NCM	jazq_NCM	0.430 
jazq	NCM	jazq_NCM	0.443 
jazq	NC	jazq_NC	0.447 
jazq	NCM	jazq_NCM	0.452 
jazq	NCM	jazq_NCM	0.454 
jazq	NC	jazq_NC	0.455 
jazq	NCM	jazq_NCM	0.460 
jazq	NC	jazq_NC	0.468 
jazq	NCM	jazq_NCM	0.474 
jazq	LP	jazq_LP	0.493 
jazq	LP	jazq_LP	0.497 
jazq	NCM	jazq_NCM	0.309 
jazq	NCM	jazq_NCM	0.315 
jazq	LPM	jazq_LPM	0.315 
jazq	NC	jazq_NC	0.334 
jazq	LP	jazq_LP	0.349 
jazq	NC	jazq_NC	0.351 
jazq	LP	jazq_LP	0.352 
jazq	LPM	jazq_LPM	0.358 
jazq	NC	jazq_NC	0.362 
jazq	LP	jazq_LP	0.367 
jazq	LP	jazq_LP	0.368 
jazq	LP	jazq_LP	0.385 
jazq	NC	jazq_NC	0.398 
jazq	LPM	jazq_LPM	0.404 
jazq	LP	jazq_LP	0.406 
jazq	LPM	jazq_LPM	0.407 
jazq	LPM	jazq_LPM	0.412 
jazq	LPM	jazq_LPM	0.435 
jazq	NC	jazq_NC	0.448 
jazq	NC	jazq_NC	0.471 
jazq	LP	jazq_LP	0.491 
bri1	NC	bri1_NC	0.443 
bri1	NC	bri1_NC	0.394 
bri1	NC	bri1_NC	0.472 
bri1	NC	bri1_NC	0.463 
bri1	NC	bri1_NC	0.316 
bri1	NC	bri1_NC	0.383 
bri1	NC	bri1_NC	0.500 
bri1	NC	bri1_NC	0.285 
bri1	NC	bri1_NC	0.277 
bri1	NCM	bri1_NCM	0.408 
bri1	NCM	bri1_NCM	0.365 
bri1	NCM	bri1_NCM	0.417 
bri1	NCM	bri1_NCM	0.355 
bri1	NCM	bri1_NCM	0.446 
bri1	NCM	bri1_NCM	0.562 
bri1	NCM	bri1_NCM	0.295 
bri1	NCM	bri1_NCM	0.401 
bri1	NCM	bri1_NCM	0.403 
bri1	LPM	bri1_LPM	0.421 
bri1	LPM	bri1_LPM	0.429 
bri1	LPM	bri1_LPM	0.273 
bri1	LPM	bri1_LPM	0.420 
bri1	LPM	bri1_LPM	0.366 
bri1	LPM	bri1_LPM	0.562 
bri1	LPM	bri1_LPM	0.292 
bri1	LPM	bri1_LPM	0.321 
bri1	LPM	bri1_LPM	0.385 
bri1	LP	bri1_LP	0.252 
bri1	LP	bri1_LP	0.230 
bri1	LP	bri1_LP	0.251 
bri1	LP	bri1_LP	0.241 
bri1	LP	bri1_LP	0.356 
bri1	LP	bri1_LP	0.234 
bri1	LP	bri1_LP	0.275 
bri1	LP	bri1_LP	0.326 
bri1	LP	bri1_LP	0.258 
col0	LPM	col0_LPM	0.667 
col0	LPM	col0_LPM	0.589 
col0	LPM	col0_LPM	0.573 
col0	LPM	col0_LPM	0.722 
col0	LPM	col0_LPM	0.476 
col0	LPM	col0_LPM	0.419 
col0	NC	col0_NC	0.494 
col0	NC	col0_NC	0.350 
col0	NC	col0_NC	0.465 
col0	NC	col0_NC	0.354 
col0	NC	col0_NC	0.300 
col0	NC	col0_NC	0.344 
col0	NC	col0_NC	0.468 
col0	NC	col0_NC	0.338 
col0	NC	col0_NC	0.303 
col0	NC	col0_NC	0.506 
col0	NC	col0_NC	0.450 
col0	NC	col0_NC	0.385 
col0	NC	col0_NC	0.415 
col0	NC	col0_NC	0.460 
col0	NC	col0_NC	0.440 
col0	NC	col0_NC	0.446 
col0	NC	col0_NC	0.475 
col0	NC	col0_NC	0.455 
col0	NC	col0_NC	0.430 
col0	NC	col0_NC	0.421 
col0	NC	col0_NC	0.454 
col0	NC	col0_NC	0.359 
col0	NC	col0_NC	0.383 
col0	NC	col0_NC	0.454 
col0	NC	col0_NC	0.348 
col0	NC	col0_NC	0.592 
col0	NC	col0_NC	0.410 
col0	NC	col0_NC	0.490 
col0	NC	col0_NC	0.494 
col0	NC	col0_NC	0.428 
cry1cry2	LPM	cry1cry2_LPM	0.587 
cry1cry2	LPM	cry1cry2_LPM	0.560 
cry1cry2	LPM	cry1cry2_LPM	0.847 
cry1cry2	LPM	cry1cry2_LPM	0.727 
cry1cry2	LPM	cry1cry2_LPM	0.618 
cry1cry2	LPM	cry1cry2_LPM	0.540 
cry1cry2	LPM	cry1cry2_LPM	0.509 
cry1cry2	LPM	cry1cry2_LPM	0.433 
cry1cry2	LPM	cry1cry2_LPM	0.477 
cry1cry2	LPM	cry1cry2_LPM	0.621 
cry1cry2	LPM	cry1cry2_LPM	0.443 
cry1cry2	LPM	cry1cry2_LPM	0.857 
cry1cry2	LPM	cry1cry2_LPM	0.327 
cry1cry2	LPM	cry1cry2_LPM	0.432 
cry1cry2	LPM	cry1cry2_LPM	0.558 
cry1cry2	LPM	cry1cry2_LPM	0.511 
cry1cry2	LPM	cry1cry2_LPM	0.467 
cry1cry2	LPM	cry1cry2_LPM	0.433 
cry1cry2	NC	cry1cry2_NC	0.611 
cry1cry2	NC	cry1cry2_NC	0.863 
cry1cry2	NC	cry1cry2_NC	0.789 
cry1cry2	NC	cry1cry2_NC	0.620 
cry1cry2	NC	cry1cry2_NC	0.703 
cry1cry2	NC	cry1cry2_NC	0.873 
cry1cry2	NC	cry1cry2_NC	0.826 
cry1cry2	NC	cry1cry2_NC	0.837 
cry1cry2	NC	cry1cry2_NC	0.866 
cry1cry2	NC	cry1cry2_NC	0.803 
cry1cry2	NC	cry1cry2_NC	0.680 
cry1cry2	NC	cry1cry2_NC	0.808 
cry1cry2	NC	cry1cry2_NC	0.673 
cry1cry2	NC	cry1cry2_NC	0.507 
cry1cry2	NC	cry1cry2_NC	0.645 
cry1cry2	NC	cry1cry2_NC	0.635 
cry1cry2	NC	cry1cry2_NC	0.650 
cry1cry2	NC	cry1cry2_NC	0.544 
cry1cry2	NCM	cry1cry2_NCM	0.454 
cry1cry2	NCM	cry1cry2_NCM	0.644 
cry1cry2	NCM	cry1cry2_NCM	0.469 
cry1cry2	NCM	cry1cry2_NCM	0.702 
cry1cry2	NCM	cry1cry2_NCM	0.633 
cry1cry2	NCM	cry1cry2_NCM	0.415 
cry1cry2	NCM	cry1cry2_NCM	0.582 
cry1cry2	NCM	cry1cry2_NCM	0.584 
cry1cry2	NCM	cry1cry2_NCM	0.759 
cry1cry2	NCM	cry1cry2_NCM	0.630 
cry1cry2	NCM	cry1cry2_NCM	0.820 
cry1cry2	NCM	cry1cry2_NCM	0.645 
cry1cry2	NCM	cry1cry2_NCM	0.879 
cry1cry2	NCM	cry1cry2_NCM	0.809 
cry1cry2	NCM	cry1cry2_NCM	0.591 
cry1cry2	NCM	cry1cry2_NCM	0.758 
cry1cry2	NCM	cry1cry2_NCM	0.760 
cry1cry2	NCM	cry1cry2_NCM	0.936 
dellap	NC	dellap_NC	0.594 
dellap	NC	dellap_NC	0.627 
dellap	NC	dellap_NC	0.961 
dellap	NC	dellap_NC	0.656 
dellap	NC	dellap_NC	0.605 
dellap	NC	dellap_NC	0.501 
dellap	NC	dellap_NC	0.611 
dellap	NC	dellap_NC	0.684 
dellap	NC	dellap_NC	0.471 
dellap	NCM	dellap_NCM	0.692 
dellap	NCM	dellap_NCM	0.700 
dellap	NCM	dellap_NCM	0.552 
dellap	NCM	dellap_NCM	0.570 
dellap	NCM	dellap_NCM	0.759 
dellap	NCM	dellap_NCM	0.757 
